u,T,q*,tau,hb,u(s),#,taut,tauc,Da
9.5,0.5,22,0.127,113,12.3,610,245.1,482,0.5
9.5,0.5,22,0.203,72,15.5,611,248.9,482,0.5
9.5,0.5,22,0.203,113,15.5,612,254.4,482,0.5
9.5,0.5,22,0.203,155,15.5,613,367.2,482,0.8
9.5,0.5,103,0.127,30,12.3,614,246.6,482,0.5
9.5,0.5,103,0.127,72,12.3,615,259.7,482,0.5
9.5,0.5,103,0.203,30,15.5,616,227.5,482,0.5
9.5,0.5,103,0.203,72,15.5,617,250.7,482,0.5
9.5,0.5,184,0.127,30,12.3,618,249.6,482,0.5
9.5,0.5,184,0.127,72,12.3,619,255.2,482,0.5
9.5,0.5,184,0.127,113,12.3,620,550.5,482,1.1
9.5,0.5,184,0.203,30,15.5,621,248.1,482,0.5
9.5,0.5,184,0.203,72,15.5,622,277.6,482,0.6
9.5,3.7,-303,0.127,113,12.3,623,256.9,299.4,0.9
9.5,3.7,-303,0.203,72,15.5,624,231.1,299.4,0.8
9.5,3.7,-303,0.203,113,15.5,625,246.6,299.4,0.8
9.5,3.7,-222,0.127,72,12.3,626,254.6,299.4,0.9
9.5,3.7,-222,0.127,113,12.3,627,255.8,299.4,0.9
9.5,3.7,-222,0.203,72,15.5,628,247.8,299.4,0.8
9.5,3.7,-222,0.279,30,18.1,629,541.5,299.4,1.8
9.5,3.7,-222,0.279,72,18.1,630,241.6,299.4,0.8
9.5,3.7,-222,0.279,237,18.1,631,222.9,299.4,0.7
9.5,3.7,-222,0.279,279,18.1,632,217.0,299.4,0.7
9.5,3.7,-222,0.279,320,18.1,633,213.1,299.4,0.7
9.5,3.7,-222,0.356,196,20.3,634,279.9,299.4,0.9
9.5,3.7,-141,0.127,113,12.3,635,247.9,299.4,0.8
9.5,3.7,-141,0.203,30,15.5,636,236.1,299.4,0.8
9.5,3.7,-141,0.203,72,15.5,637,248.6,299.4,0.8
9.5,3.7,-141,0.203,113,15.5,638,234.2,299.4,0.8
9.5,3.7,-141,0.203,155,15.5,639,227.8,299.4,0.8
9.5,3.7,-141,0.203,196,15.5,640,228.5,299.4,0.8
9.5,3.7,-141,0.203,237,15.5,641,229.9,299.4,0.8
9.5,3.7,-141,0.203,279,15.5,642,229.2,299.4,0.8
9.5,3.7,-141,0.279,30,18.1,643,224.6,299.4,0.8
9.5,3.7,-141,0.279,72,18.1,644,234.6,299.4,0.8
9.5,3.7,-141,0.279,155,18.1,645,238.7,299.4,0.8
9.5,3.7,-141,0.279,196,18.1,646,215.3,299.4,0.7
9.5,3.7,-141,0.279,237,18.1,647,234.3,299.4,0.8
9.5,3.7,-141,0.279,279,18.1,648,224.3,299.4,0.7
9.5,3.7,-141,0.356,196,20.3,649,1010.8,299.4,3.4
9.5,3.7,-141,0.356,237,20.3,650,241.2,299.4,0.8
9.5,3.7,-59,0.127,30,12.3,651,253.6,299.4,0.8
9.5,3.7,-59,0.127,72,12.3,652,254.3,299.4,0.8
9.5,3.7,-59,0.127,113,12.3,653,258.4,299.4,0.9
9.5,3.7,-59,0.127,155,12.3,654,254.4,299.4,0.8
9.5,3.7,-59,0.203,30,15.5,655,224.3,299.4,0.7
9.5,3.7,-59,0.203,72,15.5,656,269.2,299.4,0.9
9.5,3.7,-59,0.203,113,15.5,657,252.3,299.4,0.8
9.5,3.7,-59,0.203,155,15.5,658,235.6,299.4,0.8
9.5,3.7,-59,0.203,196,15.5,659,251.3,299.4,0.8
9.5,3.7,-59,0.203,237,15.5,660,230.4,299.4,0.8
9.5,3.7,-59,0.203,279,15.5,661,230.0,299.4,0.8
9.5,3.7,-59,0.203,320,15.5,662,273.0,299.4,0.9
9.5,3.7,-59,0.203,362,15.5,663,228.6,299.4,0.8
9.5,3.7,-59,0.203,403,15.5,664,226.5,299.4,0.8
9.5,3.7,-59,0.279,72,18.1,665,244.2,299.4,0.8
9.5,3.7,-59,0.279,113,18.1,666,278.8,299.4,0.9
9.5,3.7,-59,0.279,155,18.1,667,265.0,299.4,0.9
9.5,3.7,-59,0.279,196,18.1,668,234.7,299.4,0.8
9.5,3.7,-59,0.279,237,18.1,669,537.1,299.4,1.8
9.5,3.7,22,0.127,113,12.3,670,289.3,299.4,1.0
9.5,3.7,22,0.203,113,15.5,671,247.9,299.4,0.8
9.5,3.7,22,0.203,155,15.5,672,338.3,299.4,1.1
9.5,3.7,22,0.203,196,15.5,673,516.2,299.4,1.7
9.5,3.7,22,0.279,155,18.1,674,458.7,299.4,1.5
9.5,3.7,103,0.127,30,12.3,675,260.3,299.4,0.9
9.5,3.7,103,0.127,72,12.3,676,252.3,299.4,0.8
9.5,3.7,103,0.127,113,12.3,677,258.7,299.4,0.9
9.5,3.7,103,0.203,30,15.5,678,223.1,299.4,0.7
9.5,3.7,103,0.203,72,15.5,679,253.3,299.4,0.8
9.5,3.7,103,0.203,113,15.5,680,268.9,299.4,0.9
9.5,3.7,103,0.203,279,15.5,681,223.9,299.4,0.7
9.5,3.7,184,0.127,30,12.3,682,299.0,299.4,1.0
9.5,3.7,184,0.127,72,12.3,683,276.4,299.4,0.9
9.5,3.7,184,0.127,113,12.3,684,251.6,299.4,0.8
9.5,3.7,184,0.127,155,12.3,685,497.8,299.4,1.7
9.5,3.7,184,0.127,196,12.3,686,378.2,299.4,1.3
9.5,3.7,184,0.127,237,12.3,687,405.8,299.4,1.4
9.5,3.7,184,0.203,30,15.5,688,278.3,299.4,0.9
9.5,3.7,184,0.203,72,15.5,689,269.3,299.4,0.9
9.5,3.7,184,0.203,113,15.5,690,267.9,299.4,0.9
9.5,3.7,184,0.203,196,15.5,691,829.2,299.4,2.8
9.5,7.0,-303,0.127,72,12.3,692,259.5,188.4,1.4
9.5,7.0,-303,0.203,30,15.5,693,228.1,188.4,1.2
9.5,7.0,-303,0.203,72,15.5,694,231.7,188.4,1.2
9.5,7.0,-303,0.203,113,15.5,695,237.7,188.4,1.3
9.5,7.0,-222,0.127,30,12.3,696,255.0,188.4,1.4
9.5,7.0,-222,0.127,72,12.3,697,250.8,188.4,1.3
9.5,7.0,-222,0.203,30,15.5,698,242.3,188.4,1.3
9.5,7.0,-222,0.203,72,15.5,699,238.9,188.4,1.3
9.5,7.0,-222,0.203,113,15.5,700,252.5,188.4,1.3
9.5,7.0,-222,0.203,155,15.5,701,236.7,188.4,1.3
9.5,7.0,-222,0.279,113,18.1,702,242.3,188.4,1.3
9.5,7.0,-222,0.279,155,18.1,703,217.3,188.4,1.2
9.5,7.0,-222,0.279,196,18.1,704,233.8,188.4,1.2
9.5,7.0,-222,0.279,237,18.1,705,217.7,188.4,1.2
9.5,7.0,-222,0.279,279,18.1,706,297.3,188.4,1.6
9.5,7.0,-222,0.279,320,18.1,707,367.6,188.4,2.0
9.5,7.0,-222,0.279,362,18.1,708,712.8,188.4,3.8
9.5,7.0,-222,0.279,403,18.1,709,268.9,188.4,1.4
9.5,7.0,-141,0.127,72,12.3,710,249.2,188.4,1.3
9.5,7.0,-141,0.127,113,12.3,711,254.6,188.4,1.4
9.5,7.0,-141,0.203,30,15.5,712,237.7,188.4,1.3
9.5,7.0,-141,0.203,72,15.5,713,235.9,188.4,1.3
9.5,7.0,-141,0.203,113,15.5,714,234.4,188.4,1.2
9.5,7.0,-141,0.203,155,15.5,715,227.4,188.4,1.2
9.5,7.0,-141,0.203,196,15.5,716,223.4,188.4,1.2
9.5,7.0,-141,0.203,237,15.5,717,224.1,188.4,1.2
9.5,7.0,-141,0.279,30,18.1,718,339.3,188.4,1.8
9.5,7.0,-141,0.279,72,18.1,719,219.7,188.4,1.2
9.5,7.0,-141,0.279,113,18.1,720,234.0,188.4,1.2
9.5,7.0,-141,0.279,196,18.1,721,1338.3,188.4,7.1
9.5,7.0,-141,0.279,237,18.1,722,241.1,188.4,1.3
9.5,7.0,-141,0.279,279,18.1,723,257.5,188.4,1.4
9.5,7.0,-141,0.356,196,20.3,724,217.0,188.4,1.2
9.5,7.0,-141,0.356,237,20.3,725,724.0,188.4,3.8
9.5,7.0,-59,0.127,30,12.3,726,251.0,188.4,1.3
9.5,7.0,-59,0.127,72,12.3,727,274.1,188.4,1.5
9.5,7.0,-59,0.127,113,12.3,728,254.0,188.4,1.3
9.5,7.0,-59,0.127,155,12.3,729,243.5,188.4,1.3
9.5,7.0,-59,0.127,196,12.3,730,248.2,188.4,1.3
9.5,7.0,-59,0.203,30,15.5,731,236.5,188.4,1.3
9.5,7.0,-59,0.203,72,15.5,732,303.2,188.4,1.6
9.5,7.0,-59,0.203,113,15.5,733,235.9,188.4,1.3
9.5,7.0,-59,0.203,155,15.5,734,237.4,188.4,1.3
9.5,7.0,-59,0.203,196,15.5,735,288.0,188.4,1.5
9.5,7.0,-59,0.203,237,15.5,736,541.1,188.4,2.9
9.5,7.0,-59,0.203,279,15.5,737,485.1,188.4,2.6
9.5,7.0,-59,0.203,320,15.5,738,229.6,188.4,1.2
9.5,7.0,-59,0.203,362,15.5,739,229.5,188.4,1.2
9.5,7.0,-59,0.203,403,15.5,740,229.5,188.4,1.2
9.5,7.0,-59,0.279,72,18.1,741,261.5,188.4,1.4
9.5,7.0,-59,0.279,113,18.1,742,285.4,188.4,1.5
9.5,7.0,-59,0.279,155,18.1,743,226.4,188.4,1.2
9.5,7.0,-59,0.279,196,18.1,744,270.5,188.4,1.4
9.5,7.0,-59,0.279,237,18.1,745,227.5,188.4,1.2
9.5,7.0,-59,0.279,279,18.1,746,939.3,188.4,5.0
9.5,7.0,-59,0.279,320,18.1,747,243.9,188.4,1.3
9.5,7.0,-59,0.279,362,18.1,748,1146.3,188.4,6.1
9.5,7.0,22,0.127,113,12.3,749,329.1,188.4,1.7
9.5,7.0,22,0.203,72,15.5,750,248.8,188.4,1.3
9.5,7.0,22,0.203,113,15.5,751,308.7,188.4,1.6
9.5,7.0,22,0.203,196,15.5,752,363.5,188.4,1.9
9.5,7.0,22,0.279,155,18.1,753,257.6,188.4,1.4
9.5,7.0,22,0.279,196,18.1,754,389.6,188.4,2.1
9.5,7.0,103,0.127,30,12.3,755,254.1,188.4,1.3
9.5,7.0,103,0.127,72,12.3,756,262.0,188.4,1.4
9.5,7.0,103,0.127,113,12.3,757,287.9,188.4,1.5
9.5,7.0,103,0.127,155,12.3,758,253.4,188.4,1.3
9.5,7.0,103,0.203,30,15.5,759,269.7,188.4,1.4
9.5,7.0,103,0.203,72,15.5,760,238.8,188.4,1.3
9.5,7.0,103,0.203,113,15.5,761,358.3,188.4,1.9
9.5,7.0,103,0.203,155,15.5,762,252.1,188.4,1.3
9.5,7.0,103,0.203,237,15.5,763,240.8,188.4,1.3
9.5,7.0,103,0.203,279,15.5,764,236.1,188.4,1.3
9.5,7.0,103,0.279,72,18.1,765,267.6,188.4,1.4
9.5,7.0,184,0.127,30,12.3,766,250.3,188.4,1.3
9.5,7.0,184,0.127,72,12.3,767,330.9,188.4,1.8
9.5,7.0,184,0.127,113,12.3,768,277.1,188.4,1.5
9.5,7.0,184,0.127,196,12.3,769,253.4,188.4,1.3
9.5,7.0,184,0.127,279,12.3,770,258.8,188.4,1.4
9.5,7.0,184,0.203,30,15.5,771,237.2,188.4,1.3
9.5,7.0,184,0.203,72,15.5,772,250.0,188.4,1.3
9.5,7.0,184,0.203,113,15.5,773,312.2,188.4,1.7
9.5,7.0,184,0.203,155,15.5,774,319.4,188.4,1.7
9.5,7.0,184,0.203,320,15.5,775,837.6,188.4,4.4
9.5,10.3,-384,0.203,72,15.5,776,228.0,122.8,1.9
9.5,10.3,-303,0.127,72,12.3,777,266.7,122.8,2.2
9.5,10.3,-303,0.203,30,15.5,778,236.1,122.8,1.9
9.5,10.3,-303,0.203,72,15.5,779,235.7,122.8,1.9
9.5,10.3,-303,0.203,113,15.5,780,233.5,122.8,1.9
9.5,10.3,-303,0.279,113,18.1,781,234.7,122.8,1.9
9.5,10.3,-222,0.203,30,15.5,782,228.3,122.8,1.9
9.5,10.3,-222,0.279,403,18.1,783,254.7,122.8,2.1
9.5,10.3,-141,0.127,72,12.3,784,248.8,122.8,2.0
9.5,10.3,-141,0.203,72,15.5,785,259.1,122.8,2.1
9.5,10.3,-141,0.203,113,15.5,786,240.0,122.8,2.0
9.5,10.3,-141,0.203,155,15.5,787,240.4,122.8,2.0
9.5,10.3,-141,0.203,196,15.5,788,226.0,122.8,1.8
9.5,10.3,-141,0.203,237,15.5,789,354.3,122.8,2.9
9.5,10.3,-141,0.279,113,18.1,790,266.8,122.8,2.2
9.5,10.3,-141,0.279,155,18.1,791,229.0,122.8,1.9
9.5,10.3,-59,0.127,30,12.3,792,257.1,122.8,2.1
9.5,10.3,-59,0.127,72,12.3,793,256.7,122.8,2.1
9.5,10.3,-59,0.127,113,12.3,794,251.8,122.8,2.1
9.5,10.3,-59,0.127,155,12.3,795,271.6,122.8,2.2
9.5,10.3,-59,0.127,196,12.3,796,245.2,122.8,2.0
9.5,10.3,-59,0.203,30,15.5,797,238.0,122.8,1.9
9.5,10.3,-59,0.203,72,15.5,798,233.3,122.8,1.9
9.5,10.3,-59,0.203,113,15.5,799,267.0,122.8,2.2
9.5,10.3,-59,0.203,155,15.5,800,261.8,122.8,2.1
9.5,10.3,-59,0.203,196,15.5,801,443.6,122.8,3.6
9.5,10.3,-59,0.203,237,15.5,802,333.4,122.8,2.7
9.5,10.3,-59,0.203,279,15.5,803,233.3,122.8,1.9
9.5,10.3,-59,0.203,320,15.5,804,419.4,122.8,3.4
9.5,10.3,-59,0.279,113,18.1,805,273.5,122.8,2.2
9.5,10.3,-59,0.279,237,18.1,806,900.6,122.8,7.3
9.5,10.3,103,0.127,30,12.3,807,254.5,122.8,2.1
9.5,10.3,103,0.127,72,12.3,808,253.5,122.8,2.1
9.5,10.3,103,0.203,30,15.5,809,240.9,122.8,2.0
9.5,10.3,103,0.203,72,15.5,810,308.8,122.8,2.5
9.5,10.3,103,0.203,113,15.5,811,314.5,122.8,2.6
9.5,10.3,103,0.203,155,15.5,812,246.3,122.8,2.0
9.5,10.3,184,0.127,30,12.3,813,269.4,122.8,2.2
9.5,10.3,184,0.127,72,12.3,814,407.4,122.8,3.3
9.5,10.3,184,0.203,30,15.5,815,226.4,122.8,1.8
9.5,10.3,184,0.203,72,15.5,816,266.1,122.8,2.2
9.5,10.3,184,0.203,113,15.5,817,316.2,122.8,2.6
9.5,13.6,-384,0.127,72,12.3,818,258.2,82.8,3.1
9.5,13.6,-384,0.203,30,15.5,819,238.0,82.8,2.9
9.5,13.6,-384,0.203,72,15.5,820,229.1,82.8,2.8
9.5,13.6,-303,0.127,30,12.3,821,260.3,82.8,3.1
9.5,13.6,-303,0.127,72,12.3,822,257.6,82.8,3.1
9.5,13.6,-303,0.203,72,15.5,823,236.0,82.8,2.9
9.5,13.6,-222,0.203,113,15.5,824,254.0,82.8,3.1
9.5,13.6,-222,0.203,155,15.5,825,249.5,82.8,3.0
9.5,13.6,-222,0.203,196,15.5,826,226.4,82.8,2.7
9.5,13.6,-222,0.279,72,18.1,827,223.6,82.8,2.7
9.5,13.6,-222,0.279,113,18.1,828,252.2,82.8,3.0
9.5,13.6,-222,0.279,155,18.1,829,236.9,82.8,2.9
9.5,13.6,-222,0.279,196,18.1,830,830.3,82.8,10.0
9.5,13.6,-141,0.127,113,12.3,831,259.4,82.8,3.1
9.5,13.6,-141,0.127,155,12.3,832,260.4,82.8,3.1
9.5,13.6,-141,0.127,196,12.3,833,252.1,82.8,3.0
9.5,13.6,-141,0.203,30,15.5,834,244.7,82.8,3.0
9.5,13.6,-141,0.203,72,15.5,835,245.9,82.8,3.0
9.5,13.6,-141,0.203,113,15.5,836,241.0,82.8,2.9
9.5,13.6,-141,0.203,155,15.5,837,233.2,82.8,2.8
9.5,13.6,-141,0.203,196,15.5,838,228.4,82.8,2.8
9.5,13.6,-141,0.203,237,15.5,839,267.7,82.8,3.2
9.5,13.6,-141,0.279,72,18.1,840,224.4,82.8,2.7
9.5,13.6,-141,0.279,113,18.1,841,244.9,82.8,3.0
9.5,13.6,-141,0.279,155,18.1,842,240.7,82.8,2.9
9.5,13.6,-141,0.279,196,18.1,843,220.5,82.8,2.7
9.5,13.6,-141,0.279,237,18.1,844,211.6,82.8,2.6
9.5,13.6,-59,0.127,72,12.3,845,246.5,82.8,3.0
9.5,13.6,-59,0.127,113,12.3,846,260.1,82.8,3.1
9.5,13.6,-59,0.127,155,12.3,847,268.9,82.8,3.2
9.5,13.6,-59,0.127,196,12.3,848,247.5,82.8,3.0
9.5,13.6,-59,0.203,30,15.5,849,239.6,82.8,2.9
9.5,13.6,-59,0.203,72,15.5,850,234.9,82.8,2.8
9.5,13.6,-59,0.203,113,15.5,851,255.1,82.8,3.1
9.5,13.6,-59,0.203,155,15.5,852,235.3,82.8,2.8
9.5,13.6,-59,0.203,196,15.5,853,231.0,82.8,2.8
9.5,13.6,-59,0.203,237,15.5,854,387.4,82.8,4.7
9.5,13.6,22,0.127,30,12.3,855,249.6,82.8,3.0
9.5,13.6,22,0.203,30,15.5,856,245.5,82.8,3.0
9.5,13.6,22,0.203,72,15.5,857,379.7,82.8,4.6
9.5,13.6,103,0.127,30,12.3,858,272.9,82.8,3.3
9.5,13.6,103,0.127,72,12.3,859,303.6,82.8,3.7
9.5,13.6,103,0.203,30,15.5,860,241.5,82.8,2.9
9.5,13.6,103,0.203,72,15.5,861,264.1,82.8,3.2
9.5,13.6,184,0.127,30,12.3,862,262.5,82.8,3.2
9.5,13.6,184,0.127,72,12.3,863,292.4,82.8,3.5
9.5,13.6,184,0.203,72,15.5,864,274.8,82.8,3.3
9.5,16.9,-546,0.279,72,18.1,865,222.8,56.8,3.9
9.5,16.9,-465,0.203,30,15.5,866,230.6,56.8,4.1
9.5,16.9,-465,0.203,72,15.5,867,240.5,56.8,4.2
9.5,16.9,-465,0.279,113,18.1,868,227.5,56.8,4.0
9.5,16.9,-384,0.127,30,12.3,869,269.0,56.8,4.7
9.5,16.9,-384,0.203,30,15.5,870,235.8,56.8,4.2
9.5,16.9,-384,0.279,155,18.1,871,227.8,56.8,4.0
9.5,16.9,-303,0.127,72,12.3,872,260.4,56.8,4.6
9.5,16.9,-303,0.203,30,15.5,873,235.8,56.8,4.2
9.5,16.9,-303,0.203,72,15.5,874,234.7,56.8,4.1
9.5,16.9,-303,0.203,113,15.5,875,235.7,56.8,4.1
9.5,16.9,-303,0.279,72,18.1,876,282.6,56.8,5.0
9.5,16.9,-222,0.127,72,12.3,877,259.8,56.8,4.6
9.5,16.9,-222,0.127,113,12.3,878,256.3,56.8,4.5
9.5,16.9,-222,0.203,72,15.5,879,231.2,56.8,4.1
9.5,16.9,-222,0.203,113,15.5,880,227.2,56.8,4.0
9.5,16.9,-222,0.203,155,15.5,881,239.4,56.8,4.2
9.5,16.9,-222,0.279,72,18.1,882,242.1,56.8,4.3
9.5,16.9,-222,0.279,113,18.1,883,224.9,56.8,4.0
9.5,16.9,-141,0.127,72,12.3,884,257.6,56.8,4.5
9.5,16.9,-141,0.127,113,12.3,885,264.1,56.8,4.6
9.5,16.9,-141,0.127,155,12.3,886,258.8,56.8,4.6
9.5,16.9,-141,0.203,72,15.5,887,248.6,56.8,4.4
9.5,16.9,-141,0.203,113,15.5,888,224.7,56.8,4.0
9.5,16.9,-141,0.203,155,15.5,889,235.2,56.8,4.1
9.5,16.9,-59,0.127,72,12.3,890,292.8,56.8,5.2
9.5,16.9,-59,0.127,113,12.3,891,257.2,56.8,4.5
9.5,16.9,-59,0.203,30,15.5,892,237.5,56.8,4.2
9.5,16.9,-59,0.203,72,15.5,893,244.8,56.8,4.3
9.5,16.9,-59,0.203,113,15.5,894,224.0,56.8,3.9
9.5,16.9,-59,0.203,155,15.5,895,299.7,56.8,5.3
9.5,16.9,22,0.127,30,12.3,896,256.0,56.8,4.5
9.5,16.9,103,0.127,30,12.3,897,264.6,56.8,4.7
9.5,20.2,-465,0.127,72,12.3,898,266.1,41.5,6.4
9.5,20.2,-465,0.203,30,15.5,899,231.9,41.5,5.6
9.5,20.2,-465,0.203,72,15.5,900,236.6,41.5,5.7
9.5,20.2,-465,0.203,113,15.5,901,227.2,41.5,5.5
9.5,20.2,-384,0.127,30,12.3,902,260.9,41.5,6.3
9.5,20.2,-384,0.127,72,12.3,903,267.4,41.5,6.4
9.5,20.2,-384,0.127,113,12.3,904,259.5,41.5,6.3
9.5,20.2,-384,0.203,30,15.5,905,230.2,41.5,5.5
9.5,20.2,-384,0.203,72,15.5,906,254.3,41.5,6.1
9.5,20.2,-384,0.203,113,15.5,907,234.5,41.5,5.7
9.5,20.2,-384,0.203,155,15.5,908,231.3,41.5,5.6
9.5,20.2,-303,0.127,72,12.3,909,258.1,41.5,6.2
9.5,20.2,-303,0.127,113,12.3,910,258.6,41.5,6.2
9.5,20.2,-303,0.203,72,15.5,911,236.8,41.5,5.7
9.5,20.2,-303,0.203,113,15.5,912,236.8,41.5,5.7
9.5,20.2,-303,0.203,155,15.5,913,227.8,41.5,5.5
9.5,20.2,-222,0.127,72,12.3,914,254.0,41.5,6.1
9.5,20.2,-222,0.127,113,12.3,915,249.0,41.5,6.0
9.5,20.2,-222,0.203,30,15.5,916,232.6,41.5,5.6
9.5,20.2,-222,0.203,72,15.5,917,260.7,41.5,6.3
9.5,20.2,-222,0.203,113,15.5,918,232.1,41.5,5.6
9.5,20.2,-141,0.127,72,12.3,919,252.5,41.5,6.1
9.5,20.2,-141,0.127,113,12.3,920,293.2,41.5,7.1
9.5,20.2,-141,0.127,155,12.3,921,272.7,41.5,6.6
9.5,20.2,-141,0.203,30,15.5,922,241.5,41.5,5.8
9.5,20.2,-141,0.203,72,15.5,923,236.1,41.5,5.7
9.5,20.2,-141,0.203,113,15.5,924,246.2,41.5,5.9
9.5,20.2,-141,0.203,155,15.5,925,246.3,41.5,5.9
9.5,20.2,-59,0.127,72,12.3,926,260.2,41.5,6.3
9.5,20.2,-59,0.127,113,12.3,927,251.7,41.5,6.1
9.5,20.2,-59,0.203,72,15.5,928,239.1,41.5,5.8
9.5,20.2,-59,0.203,113,15.5,929,235.1,41.5,5.7
9.5,20.2,22,0.127,30,12.3,930,258.2,41.5,6.2
9.5,20.2,103,0.127,30,12.3,931,248.5,41.5,6.0
9.5,23.4,-465,0.203,30,15.5,932,239.9,30.8,7.8
9.5,23.4,-465,0.203,72,15.5,933,228.0,30.8,7.4
9.5,23.4,-384,0.127,30,12.3,934,260.0,30.8,8.4
9.5,23.4,-384,0.127,72,12.3,935,261.1,30.8,8.5
9.5,23.4,-384,0.203,30,15.5,936,231.3,30.8,7.5
9.5,23.4,-384,0.203,72,15.5,937,235.0,30.8,7.6
9.5,23.4,-303,0.127,72,12.3,938,256.9,30.8,8.3
9.5,23.4,-222,0.127,72,12.3,939,253.4,30.8,8.2
9.5,23.4,-222,0.203,30,15.5,940,238.1,30.8,7.7
9.5,23.4,-141,0.127,30,12.3,941,273.9,30.8,8.9
9.5,23.4,-141,0.127,72,12.3,942,253.1,30.8,8.2
9.5,23.4,-141,0.127,113,12.3,943,247.7,30.8,8.0
9.5,23.4,-141,0.203,30,15.5,944,229.8,30.8,7.5
9.5,23.4,-59,0.127,30,12.3,945,252.6,30.8,8.2
9.5,23.4,-59,0.127,72,12.3,946,267.5,30.8,8.7
9.5,23.4,-59,0.203,30,15.5,947,256.1,30.8,8.3
9.5,23.4,22,0.127,30,12.3,948,258.3,30.8,8.4
9.5,23.4,22,0.127,72,12.3,949,261.4,30.8,8.5
9.5,23.4,22,0.203,30,15.5,950,249.2,30.8,8.1
9.5,23.4,103,0.127,30,12.3,951,252.9,30.8,8.2
9.5,23.4,103,0.203,30,15.5,952,245.1,30.8,8.0
9.5,26.7,-141,0.127,30,12.3,953,253.4,23.5,10.8
9.5,26.7,-59,0.127,30,12.3,954,255.1,23.5,10.9
9.5,26.7,-59,0.127,72,12.3,955,254.5,23.5,10.8
9.5,26.7,-59,0.203,30,15.5,956,242.8,23.5,10.3
9.5,26.7,-59,0.203,72,15.5,957,239.8,23.5,10.2
9.5,26.7,-59,0.279,30,18.1,958,211.2,23.5,9.0
9.5,26.7,22,0.127,30,12.3,959,255.6,23.5,10.9
9.5,26.7,22,0.127,72,12.3,960,255.3,23.5,10.9
9.5,26.7,22,0.203,30,15.5,961,235.7,23.5,10.0
9.5,26.7,22,0.203,72,15.5,962,233.5,23.5,9.9
9.5,26.7,103,0.127,30,12.3,963,248.5,23.5,10.6
9.5,26.7,103,0.127,72,12.3,964,254.2,23.5,10.8
9.5,26.7,103,0.203,30,15.5,965,271.3,23.5,11.5
9.5,26.7,103,0.203,72,15.5,966,250.8,23.5,10.7
9.5,30.0,22,0.127,30,12.3,967,252.2,18.4,13.7
9.5,30.0,22,0.127,72,12.3,968,249.4,18.4,13.6
9.5,30.0,22,0.203,30,15.5,969,244.3,18.4,13.3
9.5,30.0,103,0.127,30,12.3,970,255.5,18.4,13.9
10.7,0.5,-384,0.279,196,18.1,971,194.6,482,0.4
10.7,0.5,-384,0.279,237,18.1,972,198.3,482,0.4
10.7,0.5,-303,0.203,113,15.5,973,211.7,482,0.4
10.7,0.5,-303,0.203,196,15.5,974,213.8,482,0.4
10.7,0.5,-303,0.203,237,15.5,975,207.1,482,0.4
10.7,0.5,-303,0.279,113,18.1,976,208.6,482,0.4
10.7,0.5,-303,0.279,196,18.1,977,229.8,482,0.5
10.7,0.5,-303,0.279,237,18.1,978,211.5,482,0.4
10.7,0.5,-222,0.203,72,15.5,979,213.3,482,0.4
10.7,0.5,-222,0.203,113,15.5,980,219.4,482,0.5
10.7,0.5,-222,0.203,196,15.5,981,211.9,482,0.4
10.7,0.5,-222,0.203,237,15.5,982,208.1,482,0.4
10.7,0.5,-222,0.279,72,18.1,983,259.5,482,0.5
10.7,0.5,-222,0.279,113,18.1,984,221.2,482,0.5
10.7,0.5,-222,0.279,237,18.1,985,211.0,482,0.4
10.7,0.5,-222,0.279,279,18.1,986,191.2,482,0.4
10.7,0.5,-141,0.203,30,15.5,987,211.2,482,0.4
10.7,0.5,-141,0.203,72,15.5,988,244.5,482,0.5
10.7,0.5,-141,0.203,113,15.5,989,225.7,482,0.5
10.7,0.5,-141,0.203,155,15.5,990,233.1,482,0.5
10.7,0.5,-141,0.203,196,15.5,991,223.8,482,0.5
10.7,0.5,-141,0.279,72,18.1,992,227.4,482,0.5
10.7,0.5,-141,0.279,113,18.1,993,256.6,482,0.5
10.7,0.5,-141,0.279,155,18.1,994,230.1,482,0.5
10.7,0.5,-141,0.279,196,18.1,995,195.2,482,0.4
10.7,0.5,-141,0.279,279,18.1,996,196.3,482,0.4
10.7,0.5,-141,0.356,72,20.3,997,217.3,482,0.5
10.7,0.5,-141,0.356,113,20.3,998,224.0,482,0.5
10.7,0.5,-141,0.356,196,20.3,999,190.1,482,0.4
10.7,0.5,-141,0.356,279,20.3,1000,853.8,482,1.8
10.7,0.5,-141,0.584,72,24.6,1001,190.8,482,0.4
10.7,0.5,-141,0.660,72,25.3,1002,197.7,482,0.4
10.7,0.5,-59,0.203,30,15.5,1003,229.6,482,0.5
10.7,0.5,-59,0.203,72,15.5,1004,233.5,482,0.5
10.7,0.5,-59,0.203,113,15.5,1005,251.7,482,0.5
10.7,0.5,-59,0.203,155,15.5,1006,241.2,482,0.5
10.7,0.5,-59,0.203,196,15.5,1007,202.6,482,0.4
10.7,0.5,-59,0.203,237,15.5,1008,215.2,482,0.4
10.7,0.5,-59,0.279,30,18.1,1009,208.3,482,0.4
10.7,0.5,-59,0.279,72,18.1,1010,231.8,482,0.5
10.7,0.5,-59,0.279,113,18.1,1011,222.9,482,0.5
10.7,0.5,-59,0.279,155,18.1,1012,224.2,482,0.5
10.7,0.5,-59,0.279,196,18.1,1013,1068.5,482,2.2
